personid,T_i,corr,sd_y,sd_x,sd_ratio,beta
A668000,45,0.14207744753904236,0.5430925289022993,1.2442605529049258,0.4364781376652685,0.0620136997060761
A139000,50,0.1419544543545407,0.40406101782088427,0.41456213052722235,0.9746693874498782,0.1383586610715219
A925000,46,0.14167285996492618,0.39379241202455384,1.529766489767216,0.25741994916131095,0.03646942040970882
A823000,44,0.141636875845812,0.5705974021574557,0.4897209034326257,1.165148144908535,0.16502794314238836
A828000,50,0.1415095825852275,0.45175395145262565,0.8052374767695676,0.5610195308655544,0.07938963963494476
A248000,47,0.13977649288610605,0.5107539184552492,0.7321918652994148,0.6975684143204554,0.0975036665018354
A593000,48,0.13916993223208152,0.6010481388776001,0.4625584637858159,1.2993992888127344,0.18083731096648314
A614000,48,0.1381429416770924,0.5457768229098153,0.4452706446892618,1.2257192999792141,0.16932446976951507
A311000,42,0.13777093398538456,0.5410017808004594,0.586187522507496,0.9229158929999934,0.12715098456856433
A060000,50,0.13623717580502004,0.4948716593053935,1.177371296656788,0.42031911318936466,0.05726308891778959
A154000,42,0.13605722304675147,0.5843487097907776,0.671821482411948,0.86979759517792,0.11834224541265029
A056000,43,0.13563237540936862,0.5558507890322493,0.4476279849852344,1.241769522186118,0.16842415000505984
A251000,46,0.13546444336860786,0.4714045207910317,0.5995748328059762,0.7862313342687939,0.10650639005568002
A826000,34,0.13417127036327753,0.3481553119113957,0.6371892753664641,0.5463922971885592,0.07331014863049845
A197000,46,0.1339993090448387,0.4714045207910317,0.7275965677576695,0.6478927219844114,0.08681717708109091
A626000,42,0.13305842094116427,0.5625766175720354,0.8136528206113396,0.6914209639798733,0.09199938167277956
A797000,40,0.1329987864718064,0.5547001962252291,0.5933850965365165,0.9348064173888353,0.12432811909877203
A133000,48,0.13223361373800638,0.41256849850351734,0.6198624574343345,0.6655807164240513,0.08801214336708355
A356000,46,0.1318246573268276,0.5145233712057288,0.47946465056768056,1.0731205535101265,0.14146374923684799
A371000,44,0.131617563631574,0.5052577681363806,1.0029505102376046,0.5037713855060327,0.06630516238760646
A816000,45,0.13129576325457962,0.6567443424294808,0.5638962066837198,1.1646546556711244,0.15291422194433987
A424000,45,0.13093087492546712,0.6396021490668313,0.33431788706583077,1.913155633640646,0.2504911409811562
A181000,48,0.1305969349715343,0.6354620812743972,1.9485454383081608,0.3261212537215154,0.04259043616510399
A131000,43,0.13053543793447384,0.5558507890322493,0.4394475046344741,1.2648855282375484,0.16511238636546666
A639000,48,0.13052220312365856,0.46126560401444255,0.4675144213412837,0.9866339581377758,0.128777637892758
A022000,50,0.12930362577833016,0.45175395145262565,2.4814077295205217,0.18205551069993536,0.023540437626427223
A021000,48,0.12918077619598012,0.5052911526399113,0.5176958744673634,0.9760385924647075,0.12608542297182285
A554000,46,0.12782833634603274,0.5962847939999439,0.6755943353152256,0.8826077467356551,0.1128222799113394
A628000,46,0.12758015351192334,0.614243181476472,1.2682062437220172,0.4843401335682986,0.06179218859262899
A223000,44,0.12722732224671957,0.4822428221704121,0.7902885747876174,0.6102110514504279,0.07763551808139316
A066000,46,0.1268464520127444,0.4714045207910317,0.5148471790298654,0.9156202849927362,0.11614318454222645
A193000,48,0.1254687552095935,0.5052911526399113,0.4583743549317398,1.1023547613503777,0.1383110797060004
A243000,50,0.1233911442342695,0.5146823867043377,0.5182190270651995,0.9931753946185832,0.12254904836730912
A955000,41,0.12326146820525498,0.4472135954999579,0.6088032123073662,0.7345782454153238,0.09054519304153291
A643000,48,0.12281364038096218,0.5834599659915782,0.49956160725476034,1.167943968308262,0.14343945050892476
A636000,46,0.1225918603309014,0.5560384374855326,0.7123790919012458,0.7805372782650588,0.095687517000132
A952000,46,0.12217917957974628,0.5163977794943222,0.9433452920449041,0.5474112012314375,0.06688225145922043
A168000,44,0.12210914647701622,0.4822428221704121,0.3826035023093307,1.260424484511185,0.15390935800239394
A233000,46,0.12092382189520844,0.49392444023049203,2.361485498625931,0.20915836261450266,0.02529222858868954
A773000,46,0.12009374565596201,0.5163977794943222,0.47114206176224466,1.0960553544355698,0.1316293929604406
